order_id,F1_XGB,F1_BERT,F1_diff(BERT-XGB),True_size,XGB_pred_size,BERT_pred_size
1090674,0.8750000000000001,0.8750000000000001,0.0,7,9,9
1971153,0.8,0.7407407407407407,-0.059259259259259345,10,15,17
354970,1.0,1.0,0.0,2,2,2
1284270,0.6666666666666666,0.5384615384615384,-0.1282051282051282,7,14,19
985726,1.0,1.0,0.0,1,1,1
962241,0.8235294117647058,0.8235294117647058,0.0,7,10,10
768106,0.6666666666666666,0.6666666666666666,0.0,1,2,2
999496,1.0,1.0,0.0,7,7,7
2089080,0.5384615384615384,0.5384615384615384,0.0,7,19,19
1001825,1.0,1.0,0.0,2,2,2
99751,0.8,0.8,0.0,10,15,15
1171504,0.967741935483871,0.967741935483871,0.0,15,16,16
3299994,0.9,0.9,0.0,18,22,22
2858287,1.0,1.0,0.0,6,6,6
2836233,0.1111111111111111,0.1111111111111111,0.0,1,17,17
874651,0.45454545454545453,0.4347826086956522,-0.019762845849802313,5,17,18
2969026,0.6153846153846153,0.5925925925925926,-0.022792022792022748,8,18,19
2085465,0.2222222222222222,0.2222222222222222,0.0,1,8,8
3391270,0.7272727272727273,0.7272727272727273,0.0,12,21,21
332207,1.0,1.0,0.0,2,2,2
1167814,0.7142857142857143,0.53125,-0.1830357142857143,17,25,47
2334534,1.0,1.0,0.0,1,1,1
157573,0.7499999999999999,0.7499999999999999,0.0,9,15,15
173818,1.0,1.0,0.0,2,2,2
1690530,0.7142857142857143,0.6666666666666666,-0.04761904761904767,5,9,10
2221274,0.9523809523809523,0.9523809523809523,0.0,10,11,11
2546066,0.7142857142857143,0.7142857142857143,0.0,5,9,9
1681870,1.0,1.0,0.0,5,5,5
492509,0.8,0.8,0.0,2,3,3
1588390,1.0,1.0,0.0,1,1,1
1482284,0.6666666666666666,0.6666666666666666,0.0,1,2,2
1919469,0.6896551724137931,0.6896551724137931,0.0,10,19,19
2831552,1.0,1.0,0.0,14,14,14
769425,0.9333333333333333,0.9333333333333333,0.0,14,16,16
2225860,0.4,0.4,0.0,1,4,4
3198825,0.6666666666666666,0.6666666666666666,0.0,4,8,8
2499229,0.8333333333333333,0.8333333333333333,0.0,5,7,7
1028549,1.0,1.0,0.0,3,3,3
